dim	k	n	amount	rem
goods	957	1	460.00	334.00
goods	958	5	4158.00	1426.00
goods	96114	2	4060.00	3440.00
goods	96115	1	1350.00	1196.00
goods	96116	2	2820.00	2624.00
goods	969	1	980.00	800.00
goods	971	2	885.20	618.20
goods	977	5	5449.00	4401.00
goods	979	1	916.00	620.00
goods	983	3	2423.00	1175.00
goods	985	1	1298.86	699.43
goods	986	3	1584.00	1265.00
goods	988	5	7503.59	4828.34
goods	989	3	4680.00	3076.00
goods	991	46	24795.06	13346.05
goods	994	1	315.44	186.22
goods	996	1	364.00	237.00
goods	999	2	508.21	453.21
risk	0	21	30328.75	11590.23
risk	low	54	46642.00	44417.00
risk	medium	107	104505.44	99559.44
risk	დაბალი	141	189973.27	56319.88
risk	მაღალი	315	437359.54	186735.46
risk	საშუალო	6488	8066168.77	5422510.62
rm	1	336	361418.48	40338.31
rm	10	1033	1415908.76	1336293.10
rm	11	3	3749.00	3350.00
rm	12	1	179.00	179.00
rm	13	1	2076.00	1028.66
rm	2	477	541542.58	116987.67
rm	3	443	497188.56	162067.44
rm	4	549	643406.87	266751.91
rm	5	634	751440.69	380934.30
rm	6	680	805594.44	483865.04
rm	7	814	1020583.65	697128.23
rm	8	1006	1354496.20	1054354.20
rm	9	1149	1477393.54	1277854.77
seg	A	1607	2966006.84	1907714.56
seg	B	5519	5908970.93	3913418.07
term	1	1	110.00	0.00
term	10	6049	7659724.93	5012517.88
term	11	322	488783.24	363226.28
term	12	57	87311.01	54102.01
term	13	27	44404.58	23021.40
term	14	13	26450.00	10997.61
term	15	7	12120.00	5169.00
term	16	9	20376.00	8229.59
term	17	6	11630.00	5299.02
term	18	2	5540.00	2769.00
term	19	1	1020.00	520.00
term	2	9	3081.63	1712.63
term	20	2	6411.05	3411.10
term	21	2	5100.00	1400.00
term	26	1	1990.00	597.00
term	3	25	11325.59	5676.12
term	4	44	24531.49	14876.10
term	5	70	47266.80	31635.42
term	6	250	177652.11	108644.81
term	7	43	31262.09	18228.24
term	8	112	117713.83	84315.37
term	9	74	91173.42	64784.05
