product_id	cost
5220	306.0000
5219	215.0000
5218	298.0000
5217	95.0000
5215	546.0000
5214	200.0000
5213	287.0000
5212	243.0000
5209	263.0000
5208	215.0000
5207	390.0000
5206	628.0000
5205	408.0000
5203	183.0000
5202	327.0000
5201	227.0000
5200	212.0000
5199	600.0000
5198	280.0000
5197	180.0000
5196	618.0000
5195	455.0000
5194	225.0000
5193	362.0000
5192	175.0000
5191	150.0000
5189	483.0000
5188	184.0000
5187	560.0000
5186	198.0000
5185	145.0000
5183	565.0000
5182	306.0000
5181	170.0000
5180	364.0000
5178	152.0000
5177	770.0000
5176	241.0000
5175	285.0000
5174	495.0000
5171	255.0000
5170	155.0000
5169	135.0000
5168	250.0000
5066	200.0000
5065	495.0000
5064	504.0000
5063	613.0000
5062	686.0000
5061	399.0000
5060	683.0000
5059	225.0000
5058	145.0000
5057	273.0000
5056	263.0000
5055	665.0000
5053	525.0000
5052	460.0000
5051	579.0000
5047	243.0000
5046	502.0000
5045	455.0000
5043	595.0000
5041	150.0000
5040	175.0000
5039	875.0000
5038	553.0000
5037	477.0000
5166	138.0000
5165	152.0000
5163	525.0000
5162	125.0000
5161	236.0000
5155	336.0000
5135	518.0000
5131	160.0000
5128	588.0000
5127	313.0000
5126	420.0000
5125	385.0000
5124	245.0000
5123	565.0000
5122	301.0000
5121	170.0000
5120	130.0000
5118	665.0000
5117	653.0000
5115	230.0000
5113	210.0000
5111	334.0000
5110	299.0000
5109	404.0000
5108	257.0000
5107	179.0000
5103	1260.0000
5102	583.0000
5101	336.0000
5100	285.0000
5098	406.0000
5097	546.0000
5095	203.0000
5094	220.0000
5093	507.0000
5091	1295.0000
5090	455.0000
5089	350.0000
5088	413.0000
5085	504.0000
5084	518.0000
5083	420.0000
5082	229.0000
5081	805.0000
5080	271.0000
5079	425.0000
5078	240.0000
5077	266.0000
5075	329.0000
5074	264.0000
5073	364.0000
5072	406.0000
5071	623.0000
5070	455.0000
5067	369.0000
4363	240.0000
4362	240.0000
4368	180.0000
4344	155.0000
4372	145.0000
4385	145.0000
4366	130.0000
4377	240.0000
4350	130.0000
4358	130.0000
4355	130.0000
4346	220.0000
4349	520.0000
4359	295.0000
4361	295.0000
4380	250.0000
4356	490.0000
4369	240.0000
4360	245.0000
4339	245.0000
4345	240.0000
4379	450.0000
4351	300.0000
4348	205.0000
4340	198.0000
4352	170.0000
4353	170.0000
4367	345.0000
4370	375.0000
4343	300.0000
4383	360.0000
4375	305.0000
4382	270.0000
4376	262.0000
4371	262.0000
4374	210.0000
4373	210.0000
12524	24.8000
12523	26.2000
12522	32.5000
12520	109.0000
12515	26.0000
12513	156.5000
12511	89.6000
12508	114.4000
12507	84.4000
12506	42.0000
12505	33.5000
12502	22.7000
12501	46.0000
12500	29.5000
12498	44.0000
12497	23.5000
12496	32.5000
12495	152.0000
12494	104.8000
12493	100.4000
12490	62.0000
12487	64.4000
12484	110.0000
12483	102.0000
12481	94.0000
12478	155.2000
12477	23.5000
12476	23.5000
12475	27.5000
12471	17.8000
12468	210.5000
12466	23.5000
12465	72.0000
12464	27.3000
12463	87.2000
12462	149.2000
12460	128.0000
12459	86.0000
12457	23.5000
12456	27.5000
12455	19.1000
12453	24.0000
12452	32.8000
12451	67.6000
12450	22.9000
12448	88.0000
12447	22.5000
12445	88.0000
12444	88.0000
12443	28.4000
12442	16.9000
12441	25.5000
12440	78.0000
12439	23.5000
12438	86.0000
12628	43.3000
12626	41.7500
12625	25.1000
12624	36.1000
12623	41.8000
12622	38.3000
12621	34.3000
12620	35.0000
12618	30.8000
12615	37.3000
12614	44.8000
12611	121.2000
12610	86.0000
12606	36.8000
12605	34.3000
12603	94.0000
12602	31.7000
12600	49.0000
12598	107.2000
12597	26.0000
12596	26.0000
12595	128.0000
12594	162.4000
12593	27.7000
12591	118.0000
12589	34.3000
12588	93.2000
12585	138.4000
12584	153.0000
12582	31.7000
12581	160.5000
12579	26.2000
12578	45.5000
12577	97.6000
12576	30.1000
12574	125.2000
12573	42.1000
12569	54.8000
12568	97.6000
12567	113.6000
12566	182.5000
12563	25.1000
12562	40.6000
12561	74.0000
12560	100.4000
12559	164.0000
12558	26.8000
12555	31.3000
12553	198.0000
12552	176.5000
12551	145.5000
12549	85.2000
12548	25.1000
12547	98.0000
12545	100.4000
12544	38.8000
12542	174.0000
12541	27.7000
12540	104.0000
12537	26.0000
12534	87.2000
12532	19.4000
12529	209.0000
12528	106.0000
12527	24.0000
13280	27.3000
13279	44.0000
13277	188.0000
13276	41.6000
13272	29.5000
13270	46.3000
13268	246.5000
13267	194.0000
