period	d	order_id	product_id	qty	sales	deal_type	brand	sku	product_name
2026-09	2026-09-04	55792	1975	1	629.0000	installment	HISENSE	HISENSE-DT27DR4-SILVER	მაცივარი HISENSE DT27DR4-SILVER
2026-09	2026-09-04	55818	434	1	2029.0000	installment	MIDEA	MIDEA-L1PB24-C28WM	ცენტრალური გათბობის ქვაბი MIDEA L1PB24-C28WM
2026-09	2026-09-04	55829	927	1	649.0000	installment	SHARK	SHARK-PX200EUT	ქიმწმენდის აპარატი SHARK PX200EUT
2026-09	2026-09-04	55871	142296	1	679.0000	installment	SAMSUNG	169670	Mobile and Smartphones/ Samsung/ Samsung A175F Galaxy A17 6GB/128GB LTE Duos Black
2026-09	2026-09-04	55880	147	1	309.0000	installment	FRANKO	FRANKO-FKM-1178	სამზარეულოს კომბაინი FRANKO FKM-1178
2026-09	2026-09-05	55365	142265	1	709.0000	installment	HONOR	177280	Mobile and Smartphones/ Honor/ Honor X7e 6GB/256GB Light Blue
2026-09	2026-09-05	55387	3745	1	999.0000	installment	DREAME	AMF18A	თმის სტაილერი Styler Dreame AirStyle Pro Gold Titanium (AMF18A)
2026-09	2026-09-05	55396	38739	1	169.0000	installment	REMINGTON	161310	Hair Dryer/ Remington AC8820 E51 Keratin Protect Dryer 2200
2026-09	2026-09-05	55396	39587	1	89.0000	installment	REMINGTON	163257	Hair Straighter/ Remington S3500 E51 Ceramic Straight 230
2026-09	2026-09-05	55423	2160	1	429.0000	installment	MIDEA	MIDEA-VSS-P9-LITE	მტვერსასრუტი MIDEA VSS-P9-LITE
2026-09	2026-09-05	55458	1059	1	699.0000	installment	MARAZZI	MARAZZI-C-F-218FS-S-W	საყინულე MARAZZI CF-218FS(SW)
2026-09	2026-09-05	55490	915	1	439.0000	installment	NINJA	NINJA-AF140EUCM	აეროგრილი NINJA AF140EUCM
2026-09	2026-09-05	55490	19149	2	358.0000	installment		244103	პუფი ალკანტარის ზურგიანი დიდი 80 სმ
2026-09	2026-09-05	55628	142260	1	1269.0000	installment	HONOR	174308	Mobile and Smartphones/ Honor/ Honor 600 Lite 8GB/256GB Dual Sim Velvet Grey
2026-09	2026-09-05	55706	19091	2	118.0000	installment		60822	პუფი საბავშვო ოქსფორდი 70x55 სმ
2026-09	2026-09-05	55706	459	1	359.0000	installment		Table-with-4-chairs-brown	მაგიდა 4 სკამით (ყავისფერი)
2026-09	2026-09-05	55737	39709	1	429.0000	installment	SAMSUNG	169294	Mobile and Smartphones/ Samsung/ Samsung A075F Galaxy A07 4GB/128GB LTE Duos Black
2026-09	2026-09-05	55742	2161	1	239.0000	installment	MIDEA	MIDEA-VCS43A14H-R	მტვერსასრუტი MIDEA VCS43A14H(R)
2026-09	2026-09-05	55758	437	1	2979.0000	installment	MIDEA	MIDEA-L1PB36-C28WL	ცენტრალური გათბობის ქვაბი MIDEA L1PB36-C28WL
2026-09	2026-09-05	55795	608	1	979.0000	installment	SHARK	SHARK-IZ300EU	მტვერსასრუტი SHARK IZ300EU
2026-09	2026-09-05	55819	39776	1	749.0000	installment	TCL	165469	TV/ QLED/ TCL/ QLED TV  43"(109cm)/ 43S5K  Google TV FHD 1920x1080 HDR10 6.5ms 178* 220cd/m2 4000:1 DVB-T2/S/S2/C BT5.0 WiFi LAN HDMI USB 2x5W VESA100
2026-09	2026-09-05	55834	1806	1	2099.0000	installment	DELONGHI	DELONGHI-ECAM290-61-B	ესპრესოს ავტომატური ყავის აპარატი DELONGHI ECAM290.61.B
2026-09	2026-09-05	55858	2271	1	699.0000	installment	DREAME	Dream-001	რობოტი მტვერსასრუტი Dreame Robot Vacuum F10 Black (RLF11SA)
2026-09	2026-09-05	55862	142262	2	1358.0000	installment	HONOR	177277	Mobile and Smartphones/ Honor/ Honor X7e 6GB/128GB Light Blue
2026-09	2026-09-05	55877	2554	1	219.0000	installment	CASIO	9BUDF	საათი Casio Quartz Wristwatch / LTP-V007SG-9BUDF
2026-09	2026-09-05	55885	1796	1	239.0000	installment	HISENSE	HISENSE-HAF1900D	აეროგრილი HISENSE HAF1900D
2026-09	2026-09-05	55896	68727	1	1269.0000	installment		ZOOM-032903	ელექტრო სკუტერი ZOOMMER Segway Ninebot Kickscooter E2
2026-09	2026-09-05	55914	798	1	329.0000	installment	FRANKO	FRANKO-FAF-90-27	აეროგრილი FRANKO FAF-9027
2026-09	2026-09-05	55930	932	1	389.0000	installment	FRANKO	FRANKO-FCO-9037	ელექტრო ღუმელი FRANKO FCO-9037
2026-09	2026-09-05	55932	2145	1	1299.0000	installment	MIDEA	MIDEA-MD1180BH60-W	სარეცხის საშრობი MIDEA MD1180BH60/W
2026-09	2026-09-05	55942	142265	1	709.0000	installment	HONOR	177280	Mobile and Smartphones/ Honor/ Honor X7e 6GB/256GB Light Blue
2026-09	2026-09-05	55953	1066	1	1759.0000	installment	MARAZZI	MARAZZI-FDR-405FSO-SDI	მაცივარი MARAZZI FDR-405FSO(SDI)
2026-09	2026-09-05	55954	2182	1	679.0000	installment	JANOME	Janome-J925S	საკერავი მანქანა Janome J925S
