product_id	start_price	final_price	deal_type
14669	1320.00	2540.00	installment
14097	154.00	280.00	installment
7005	1100.00	1940.00	installment
14320	1450.00	2440.00	installment
13929	154.00	280.00	installment
15747	1470.00	2410.00	installment
15594	925.00	1570.00	installment
15254	975.00	1690.00	installment
13144	970.00	1600.00	installment
401	870.00	1430.00	installment
8889	320.00	530.00	installment
12474	430.00	720.00	installment
252	93.00	170.00	installment
14805	165.00	360.00	installment
11904	97.00	170.00	installment
15845	81.00	210.00	installment
15739	970.00	1600.00	installment
15735	2380.00	3890.00	installment
15858	289.00	490.00	installment
15856	650.00	1090.00	installment
15797	2068.00	3360.00	installment
15727	970.00	1600.00	installment
15864	197.00	350.00	installment
15739	970.00	1600.00	installment
15739	970.00	1600.00	installment
15079	181.00	330.00	installment
15861	119.00	210.00	installment
15727	970.00	1600.00	installment
12267	592.00	980.00	installment
15752	2070.00	3890.00	installment
15727	970.00	1600.00	installment
13351	254.00	430.00	installment
14110	202.00	340.00	installment
14415	262.00	430.00	installment
15841	322.00	540.00	installment
3775	465.00	760.00	installment
14035	700.00	1150.00	installment
13091	1775.00	2900.00	installment
1635	85.00	200.00	installment
7611	130.00	220.00	installment
10914	145.00	240.00	installment
13300	75.00	180.00	installment
13835	122.00	210.00	installment
15865	25.00	60.00	installment
15866	130.00	220.00	installment
5127	550.00	910.00	installment
13769	1550.00	2700.00	installment
15739	970.00	1600.00	installment
13913	635.00	1090.00	installment
9958	450.00	750.00	installment
15876	360.00	640.00	installment
15878	970.00	1600.00	installment
13608	500.00	820.00	installment
13392	1120.00	1870.00	installment
163	1090.00	1790.00	installment
13213	600.00	1030.00	installment
13835	122.00	170.00	single
13166	585.00	980.00	installment
15841	376.00	620.00	installment
9958	450.00	750.00	installment
15841	376.00	620.00	installment
14396	945.00	1550.00	installment
8596	680.00	1100.00	installment
15891	670.00	1100.00	installment
4022	240.00	260.00	single
7399	440.00	470.00	single
8581	680.00	720.00	single
15739	970.00	1600.00	installment
12885	530.00	870.00	installment
15895	376.00	620.00	installment
9072	580.00	960.00	installment
4892	300.00	500.00	installment
15894	220.00	370.00	installment
7	75.00	180.00	installment
6078	680.00	1100.00	installment
12841	111.00	220.00	installment
13929	154.00	280.00	installment
15901	460.00	760.00	installment
15895	376.00	620.00	installment
9412	675.00	1110.00	installment
9206	1000.00	1640.00	installment
4309	575.00	870.00	installment
15858	330.00	550.00	installment
14436	1130.00	1850.00	installment
13986	155.00	270.00	installment
15904	330.00	550.00	installment
15895	376.00	620.00	installment
112	465.00	820.00	installment
3862	360.00	530.00	installment
5713	315.00	520.00	installment
15919	148.00	290.00	installment
15919	148.00	290.00	installment
15914	970.00	1600.00	installment
13608	500.00	820.00	installment
